Sr. No.,Entity Name,Volume (AS a Sender),Value (As a sender),Volume(as a reciver),Value (as a reciver),,
1,ABHINANDAN URBAN COOP BANK AMRAVATI,0.12,2.80,0.07,2.83,,
2,ABHYUDAYA CO-OPERATIVE BANK,73.55,682.14,26.22,619.06,,
3,ACE COOPERATIVE BANK LTD,0.03,0.45,0.00,0.17,,
4,ADARNIYA P D PATILSAHEB SAHAKARI BANK LTD KARAD,0.76,12.76,0.39,9.01,,
5,ADARSH COOPERATIVE BANK RAJASTHAN,2.02,35.95,1.33,53.86,,
6,AGROHA COOPERATIVE URBAN BANK LTD,0.01,0.06,0.00,0.06,,
7,AHMEDABAD DISTRICT COOPERATIVE BANK,19.95,284.73,8.56,231.57,,
8,AHMEDNAGAR MERCHANTS CO-OP BANK LTD,2.79,61.94,1.96,71.52,,
9,AHMEDNAGAR SHAHAR SAHAKARI BANK MARYADIT,0.79,16.18,0.37,12.51,,
10,AIRTEL PAYMENTS BANK LIMITED,3680.27,20155.88,2486.98,25382.76,,
11,AKHAND ANAND CO-OP BANK LTD,0.92,21.64,0.44,17.66,,
12,ALAVI CO OPERATIVE BANK LTD,0.13,2.78,0.14,3.25,,
13,AMAN SAHAKARI BANK LTD,0.04,0.46,0.01,0.36,,
14,AMAZON,41.62,575.64,175.89,1906.35,,
15,AMBAJOGAI PEOPLES CO-OPERATIVE BANK LTD,2.89,41.15,1.76,40.71,,
16,AMBARNATH JAI HIND CO OPERATIVE BANK LTD,2.82,33.23,1.16,29.93,,
17,AMRELI JILLA MADHYASTHA SAHAKARI BANK LTD,2.23,50.65,1.02,41.73,,
18,AMRELI NAGARIK SAHAKARI BANK LTD,0.06,1.09,0.02,0.94,,
19,ANDHRA PRADESH GRAMEENA VIKAS BANK - IMPS,252.49,3803.22,133.03,3095.62,,
20,ANDHRA PRAGATHI GRAMEENA BANK,148.20,2384.86,86.00,2077.29,,
21,ANNASAHEB CHOUGULE URBAN CO-OP BANK LTD,0.20,3.39,0.08,2.46,,
22,APNA SAHAKARI BANK LTD,30.20,355.83,11.88,275.90,,
23,APPASAHEB BIRNALE SAHAKARI BANK LTD  DUDHGAON,0.12,1.90,0.05,1.31,,
